Sqft,Floor,TotalFloor,Bedroom,Living.Room,Bathroom,Price,Cluster
391.38,7,14,1,2,1,25000,1
1889.298,2,14,4,2,2,100000,2
1031.82,4,16,3,2,2,40000,2
1921.32,3,7,4,2,2,55000,2
1387.62,4,4,3,2,2,40000,2
1352.04,9,14,3,2,2,50000,2
1433.874,5,6,3,2,2,47000,2
462.54,13,14,1,1,1,20000,1
3775.038,11,11,3,3,3,150000,0
996.24,2,5,3,2,1,28000,2
441.192,3,6,1,2,1,40000,1
1757.652,6,7,4,2,3,65000,2
1974.69,6,17,4,2,2,70000,0
711.6,5,7,2,2,1,43000,1
1825.254,5,7,3,2,2,60000,2
1814.58,6,14,4,2,3,85000,0
1426.758,3,12,3,2,2,48120,2
469.656,9,12,1,1,1,35000,1
1149.234,10,12,3,2,1,50000,2
2309.142,16,21,4,2,4,138000,0
1102.98,2,4,2,1,2,31000,1
782.76,3,5,2,1,1,30000,1
1352.04,9,13,3,2,2,48000,2
1494.36,6,7,4,1,2,60000,2
1245.3,5,6,3,2,2,40000,2
1529.94,2,7,4,2,2,45000,2
1569.078,10,12,2,2,2,58000,2
1352.04,2,4,4,2,2,30000,2
2141.916,7,19,4,2,2,77000,0
1565.52,1,5,3,2,3,80000,2
1885.74,2,7,4,2,2,55000,2
1761.21,3,6,3,2,2,45000,2
1761.21,3,6,4,2,2,45000,2
889.5,11,18,2,2,1,30500,1
2668.5,5,12,4,2,2,138888,0
1334.25,5,11,3,2,2,38000,2
925.08,1,4,2,2,1,36000,1
878.826,10,14,1,1,1,47999,1
1067.4,3,12,3,2,1,35000,2
1423.2,11,12,2,2,2,38000,2
1419.642,3,7,3,2,2,45000,2
711.6,5,5,2,2,1,22000,1
718.716,5,12,2,2,1,35000,1
1956.9,9,12,4,2,2,90000,0
1544.172,10,12,4,2,2,98000,0
2383.86,1,7,5,3,3,60000,2
2081.43,10,17,3,2,2,68000,0
711.6,6,6,2,1,1,17000,1
700.926,7,11,2,1,1,40000,1
1181.256,1,4,3,2,2,52000,2
498.12,11,14,2,1,1,40000,1
5856.468,7,21,6,2,5,180000,0
1245.3,8,8,3,2,2,23000,2
868.152,3,5,3,2,1,26000,2
533.7,7,7,1,1,1,28800,1
693.81,2,7,1,1,1,33000,1
1576.194,3,7,4,2,2,44000,2
5760.402,9,15,3,2,3,170000,0
796.992,3,12,2,2,1,45000,1
2052.966,5,7,4,2,2,78000,2
1163.466,2,7,3,2,2,38000,2
1316.46,4,15,3,2,2,45000,2
1099.422,4,12,2,2,1,38800,1
1480.128,4,7,2,2,2,99999,2
2739.66,5,21,4,2,2,150000,0
800.55,3,4,2,2,1,43000,1
676.02,6,7,2,1,1,45000,1
964.218,4,4,3,2,1,32000,2
1832.37,9,16,4,2,2,69000,0
782.76,10,14,1,0,1,31000,1
1551.288,5,5,4,2,2,59800,2
1102.98,2,4,2,2,2,31000,2
989.124,9,12,3,2,2,42000,2
711.6,9,14,2,1,1,27000,1
1458.78,6,7,3,2,2,36000,2
1359.156,7,16,3,2,2,45000,2
2063.64,5,9,4,2,2,60000,2
846.804,14,14,2,2,1,29000,1
1458.78,21,27,3,2,2,60000,0
1127.886,4,5,3,2,2,26000,2
1355.598,5,19,2,2,2,69999,2
1892.856,5,12,4,2,2,129999,0
1031.82,3,6,3,2,2,21000,2
1707.84,5,7,3,2,2,50000,2
640.44,9,12,2,1,1,45000,1
1014.03,8,11,3,2,2,36000,2
1067.4,6,14,3,2,1,43000,2
711.6,8,12,1,2,1,30000,1
996.24,4,5,3,2,1,6100,2
2134.8,3,6,4,2,3,98000,2
1647.354,11,14,4,2,2,55000,0
1138.56,3,12,3,2,2,42000,2
889.5,5,9,1,1,1,43000,1
711.6,8,14,1,1,1,36000,1
1857.276,2,14,3,2,2,45000,2
1102.98,6,7,3,2,2,65000,2
925.08,2,4,2,1,1,32000,1
